"id_rubrique","nom","edito","titre_seo","seo","parent","ordre","active","dept","created","modified","modifier"
"201","Dehors",,,,"6","0","1","88","2015-06-18 09:01:56","2016-02-02 09:45:43","Responsable 87"
"202","Dedans",,,,"6","1","1","88","2015-06-18 09:02:04","2016-02-02 09:45:43","Responsable 87"
"203","Fermes et cueillettes",,,,"1","2","1","80","2015-06-18 09:49:29","2021-02-19 14:03:17","Responsable 79"
"204","Voir des animaux",,,,"1","3","1","80","2015-06-18 09:49:43","2021-02-19 14:03:17","Elea BOUVIER"
"205","Au bord de l&#39;eau",,,,"1","1","1","80","2015-06-18 09:49:55","2021-02-19 14:03:17","Responsable 79"
"206","Spectacles",,,,"2","0","1","80","2015-06-18 09:51:10","2021-02-19 13:58:10","Responsable 79"
"207","Ateliers",,,,"2","7","1","80","2015-06-18 09:51:23","2021-02-19 13:58:58","Responsable 79"
"208","Contes et merveilles",,,,"2","4","1","80","2015-06-18 09:51:47","2021-02-19 13:58:52","Elea BOUVIER"
"209","Châteaux",,,,"3","0","1","80","2015-06-18 09:52:52","2016-02-02 09:45:43","Responsable 79"
"210","Musées dépoussiérés",,,,"3","1","1","80","2015-06-18 09:53:03","2016-02-02 09:45:43","Responsable 79"
"211","Villages &#38; vieilles pierres",,,,"3","2","1","80","2015-06-18 09:54:00","2016-02-02 09:45:43","Responsable 79"
"212","Artisanat",,,,"3","3","1","80","2015-06-18 09:54:15","2016-02-02 09:45:43","Responsable 79"
"213","Loisirs dedans",,,,"4","1","1","80","2015-06-18 09:55:48","2021-02-19 13:55:27","Elea BOUVIER"
"214","Loisirs dehors",,,,"4","2","1","80","2015-06-18 09:56:05","2021-02-19 13:55:27","Elea BOUVIER"
"215","Boutiques sympas",,,,"5","0","1","80","2015-06-18 09:58:37","2016-02-02 09:45:43","Responsable 79"
"216","Cafés et restos kids friendly",,,,"5","1","1","80","2015-06-18 09:59:08","2016-02-02 09:45:43","Responsable 79"
"217","Assos d&#39;aide aux parents",,,,"5","2","1","80","2015-06-18 10:00:28","2021-02-19 14:03:58","Elea BOUVIER"
"218","Hébergements et insolites",,,,"5","3","1","80","2015-06-18 10:00:51","2021-02-19 14:03:42","Elea BOUVIER"
"219","Anniv&#39; dedans",,,,"6","0","1","80","2015-06-18 10:01:42","2016-02-02 09:45:43","Responsable 79"
"220","Anniv&#39; dehors",,,,"6","1","1","80","2015-06-18 10:01:55","2016-02-02 09:45:43","Responsable 79"
"221","Boutiques sympas",,,,"5","0","1","73","2015-06-18 13:05:15","2016-02-02 09:45:43","Anne-Cecile Bechu"
